,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,9,3,0.2128771963643249,-0.20714170777431132,1,0,1,3,3,4,0,5,3,3,0,5,7,5,1.0509937888999856,0.8786680880058696,1,1,1,3,2,2,4,3,1,6,0.5754248369676035,-0.4593025408311876,2,4,1,4,-0.7934337933349002,1.1618515874685553,-0.12024172373467248,0.3703334392167798,1,0,2,1,3,1,3,8,7,0,0,2,2,0.35100032086652694,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,2,2008,8,4,0.5600675987929602
1,4,3,0.6457472613948461,-0.09188637231949037,1,0,1,3,3,2,0,24,2,3,0,2,6,8,0.15673371079690998,-0.4295769652193609,1,1,3,2,2,1,4,3,4,5,1.171992119373828,0.4664649160883461,2,4,1,4,0.25714042978945445,-0.7951632272572445,-0.12024172373467248,-0.48251191458524123,0,1,2,0,3,1,2,6,7,1,3,2,2,-0.060731012615303295,3,3,2,1.6261947918523714,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,5,2007,8,4,0.21276441340456573
2,9,3,0.29945120937042913,0.07347997855047012,1,0,2,3,3,4,0,5,3,3,0,5,7,5,0.9847523016330911,0.8302145675160463,1,1,1,3,2,2,4,3,2,6,0.09290718208021594,-0.3133687545187488,2,4,1,4,-0.6278260340246571,1.1893506246778172,-0.12024172373467248,0.5150125617367655,1,0,2,1,3,1,3,6,7,1,3,2,2,0.6317262300586839,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,9,2008,8,4,0.7340464494981442
3,10,3,0.0685871746874845,-0.09689747386100432,1,0,2,3,3,0,0,6,3,3,0,5,7,5,-1.8636316508433721,-0.720298088158301,1,1,3,2,2,0,3,4,1,5,-0.49927357619066876,-0.6873240819443732,2,3,1,4,-0.5217335632165325,0.9372761169262505,-0.12024172373467248,0.3836591478699364,1,0,1,0,3,1,3,7,7,1,4,1,3,0.7908042452675729,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,2,2006,8,0,-0.437381964844249
4,9,3,0.7611792787363184,0.37514829134961014,1,0,2,3,3,2,0,15,3,3,0,5,8,5,0.9516315579996439,0.7333075265363995,1,1,1,3,2,2,4,3,3,6,0.4635684715164364,0.1996797129859189,2,4,1,4,-0.045611255199583686,1.6178772878554806,-0.12024172373467248,1.299325699608267,1,0,2,1,4,1,3,9,7,1,3,2,3,1.6984846849888804,3,3,2,0.7801971853099035,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,12,2008,8,4,1.0146507113777186
5,8,3,0.7900372830716864,0.3606160968792197,1,0,2,3,3,4,0,11,3,3,0,0,5,5,0.7197863525655132,0.4910399240872828,1,1,3,2,2,5,4,3,1,6,0.632449650727022,-0.596115465499099,2,4,1,4,-0.9486910676882531,0.5018746944462716,-0.12024172373467248,-0.2921446481115758,1,0,1,1,1,1,2,5,7,0,0,1,2,0.03284429044874903,3,3,2,-0.43293145803401284,10.802446267979857,-0.2702083542015609,3,2,1.3237359981507422,10,2009,8,4,-0.3842855242015807
6,4,3,0.5014572397180057,-0.04337890939763529,1,0,1,3,3,4,0,21,3,3,0,2,8,5,1.084114532533433,0.9755751289855163,1,1,4,3,2,2,5,3,3,6,2.029557587832776,1.4332762504082532,2,4,1,4,1.3749928051335953,-0.7951632272572445,-0.12024172373467248,0.33987467658099335,1,0,2,0,3,1,3,7,7,1,4,2,2,0.7627316543483571,3,3,2,1.283007083537974,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,8,2007,8,4,1.5289985468950482
7,9,3,-1.6628930854346002,-0.013512744210212127,1,0,2,3,3,0,0,14,6,3,0,5,7,6,0.05737147989656824,-0.5749375266888309,1,1,4,2,2,1,4,3,2,5,0.9109939333211048,0.11303152736290836,2,4,1,4,-0.14394086229004052,1.45746623746812,-0.12024172373467248,1.0937290518167084,1,0,2,1,3,1,2,7,7,2,3,2,2,0.05155935106155949,3,3,2,1.1233848936243007,-0.11633928614822256,-0.2702083542015609,0,2,0.6180240933165219,11,2009,8,4,0.4558349256634382
8,8,4,-0.19113486433082819,-0.44065903960886155,1,0,1,3,3,4,0,17,1,3,0,0,7,5,-1.3336997527082162,-1.689368497954768,1,1,3,2,2,0,3,3,1,1,-0.9730181828073765,-0.2404018613625294,2,3,1,1,-0.3638886676239571,0.9281097711898298,-0.12024172373467248,0.49216848975992566,0,0,2,0,2,2,2,8,6,2,3,1,2,-0.023300891389682367,2,3,2,-0.03387598324982984,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,4,2008,8,0,-0.6248968096694356
9,3,3,-0.21999286866619627,-0.31037039952949874,1,0,1,3,3,0,0,3,1,1,1,1,5,6,-1.0687338036406382,-1.689368497954768,1,1,3,2,2,0,3,3,1,6,0.8934478367797453,-0.151473460328387,2,4,1,4,-0.22156949946671697,-0.7951632272572445,-0.12024172373467248,-0.8346913575615222,1,0,1,0,2,2,2,5,7,2,3,2,1,-1.2538161266819705,4,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,1,2008,8,4,-0.8655095792474985
